id,title,duration_min,speakers_name,speakers_occupation,event,topics,views,page_url,published_date,recorded_date,subtitle_languages,likes
21,Meet the founder of the blog revolution,16.533333333333335,Mena Trott,"Blogger; cofounder, Six Apart",TED2006,"culture, design, business, entertainment, software, storytelling, communication, community",589115,https://www.ted.com/talks/mena_trott_meet_the_founder_of_the_blog_revolution,2006-08-25,2006-02-23,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Russian, Dutch, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, German, Japanese, Hebrew, Korean, Greek",17000
1,Averting the climate crisis,15.95,Al Gore,Climate advocate,TED2006,"climate change, culture, environment, global issues, science, sustainability, technology, transportation, renewable energy",3671801,https://www.ted.com/talks/al_gore_averting_the_climate_crisis,2006-06-27,2006-02-25,"Greek, Gujarati, English, Italian, Swedish, Czech, Arabic, Portuguese, Brazilian, Galician, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Swahili, Chinese, Traditional, Turkish, Tagalog, Latvian, Croatian, Lithuanian, Thai, Romanian, Polish, French, Bulgarian, French (Canada), German, Hungarian, Persian, Hindi, Japanese, Hebrew, Serbian, Albanian, Korean, Macedonian, Urdu, Slovak, Ukrainian, Slovenian, Vietnamese",110000
7,Simplicity sells,21.1,David Pogue,Technology columnist,TED2006,"technology, computers, entertainment, media, music, performance, software, UX design",2008487,https://www.ted.com/talks/david_pogue_simplicity_sells,2006-06-27,2006-02-24,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Norwegian Bokmal, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Indonesian",60000
47,Chemical scum that dream of distant quasars,18.766666666666666,David Deutsch,"Physicist, author",TEDGlobal 2005,"climate change, culture, environment, global issues, science, technology, universe, physics",2694257,https://www.ted.com/talks/david_deutsch_chemical_scum_that_dream_of_distant_quasars,2006-09-12,2005-07-14,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Azerbaijani, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Japanese, Hebrew, Georgian, Serbian, Korean, Slovak",80000
55,My wish: A global day of film,25.4,Jehane Noujaim,Filmmaker,TED2006,"culture, global issues, entertainment, social change, art, storytelling, film, TED Prize",489757,https://www.ted.com/talks/jehane_noujaim_my_wish_a_global_day_of_film,2006-07-25,2006-02-26,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Russian, Dutch, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Persian, Japanese, Hebrew, Korean",14000
16,"Why we love, why we cheat",23.233333333333334,Helen Fisher,"Anthropologist, expert on love",TED2006,"culture, science, cognitive science, evolution, gender, love, psychology, relationships",12138500,https://www.ted.com/talks/helen_fisher_why_we_love_why_we_cheat,2006-09-06,2006-02-24,"Greek, English, Chinese, Yue, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Armenian, Japanese, Hebrew, Serbian, Albanian, Korean, Swedish, Slovak, Ukrainian, Slovenian, Thai, Indonesian",364000
64,Happiness in body and soul,20.2,Eve Ensler,"Playwright, activist",TED2004,"culture, global issues, entertainment, performance, gender, storytelling, happiness, theater, women",1405560,https://www.ted.com/talks/eve_ensler_happiness_in_body_and_soul,2006-09-06,2004-02-04,"Greek, English, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Norwegian Bokmal, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, German, Persian, Japanese, Hebrew, Serbian, Korean, Vietnamese, Swedish",42000
71,A life of purpose,20.8,Rick Warren,"Pastor, author",TED2006,"culture, religion, philanthropy, leadership, happiness, Christianity, motivation",4280534,https://www.ted.com/talks/rick_warren_a_life_of_purpose,2006-07-18,2006-02-25,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Chinese, Traditional, Norwegian Bokmal, Turkish, Latvian, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Croatian, German, Persian, Armenian, Hungarian, Japanese, Hebrew, Albanian, Korean, Slovak, Ukrainian",128000
3,How to rebuild a broken state,18.416666666666668,Ashraf Ghani,President of Afghanistan,TEDGlobal 2005,"culture, global issues, politics, business, corruption, economics, entrepreneur, military, poverty, policy, international development, investing",1095372,https://www.ted.com/talks/ashraf_ghani_how_to_rebuild_a_broken_state,2006-10-18,2005-07-12,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Dutch, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Russian, German, Hungarian, Persian, Japanese, Hebrew, Korean, Ukrainian, Pashto",32000
66,Do schools kill creativity?,19.183333333333334,Sir Ken Robinson,"Author, educator",TED2006,"culture, education, creativity, dance, parenting, teaching, kids",73389142,https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,2006-06-27,2006-02-25,"Portuguese, Brazilian, Mauritian Creole, Greek, Esperanto, English, Vietnamese, Catalan, Italian, Swedish, Czech, Arabic, Ingush, Basque, Estonian, Azerbaijani, Indonesian, Spanish, Russian, Galician, Dutch, Portuguese, Chinese, Simplified, Lao, Norwegian Bokmal, Afrikaans, Turkish, Nepali, Latvian, Croatian, Lithuanian, Thai, Romanian, Filipino, Belarusian, French, Bulgarian, Ukrainian, Slovenian, French (Canada), Bengali, German, Uzbek, Danish, Persian, Finnish, Armenian, Hungarian, Japanese, Chinese, Traditional, Hebrew, Georgian, Serbian, Albanian, Mongolian, Korean, Macedonian, Urdu, Slovak, Polish, Marathi, Northern Kurdish (Kurmanji), Kannada, Sinhala, Kurdish (Central)",2200000
86,Letting go of God,16.3,Julia Sweeney,"Actor, comedian",TED2006,"culture, performance, storytelling, religion, Christianity, atheism, comedy, humor",4821638,https://www.ted.com/talks/julia_sweeney_letting_go_of_god,2006-07-10,2006-02-24,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Lithuanian, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Finnish, Japanese, Hebrew, Korean, Ukrainian, Marathi, Urdu",144000
54,My wish: A call for open-source architecture,23.233333333333334,Cameron Sinclair,"Co-founder, Architecture for Humanity",TED2006,"culture, global issues, design, invention, software, architecture, collaboration, activism, philanthropy, natural disaster",1370419,https://www.ted.com/talks/cameron_sinclair_my_wish_a_call_for_open_source_architecture,2006-07-25,2006-02-26,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Lithuanian, Thai, Romanian, Polish, French, Bulgarian, German, Japanese, Hebrew, Serbian, Albanian, Korean, Slovak",41000
92,The best stats you've ever seen,19.6,Hans Rosling,Global health expert; data visionary,TED2006,"global issues, economics, health, Africa, statistics, demo, Asia, visualizations, math, international development",15365640,https://www.ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen,2006-06-27,2006-02-22,"Greek, English, Vietnamese, Icelandic, Italian, Swedish, Arabic, Portuguese, Brazilian, Czech, Azerbaijani, Indonesian, Spanish, Russian, Dutch, Portuguese, Swahili, Chinese, Traditional, Turkish, Latvian, Chinese, Simplified, Thai, Romanian, Polish, Tamil, French, Bulgarian, Ukrainian, Croatian, Bengali, German, Hungarian, Persian, Hindi, Bosnian, Finnish, Danish, Japanese, Hebrew, Telugu, Malayalam, Mongolian, Korean, Kannada, Macedonian, Urdu, Slovak, Northern Kurdish (Kurmanji), Serbian, Estonian",460000
94,Let's teach religion -- all religion -- in schools,24.516666666666666,Dan Dennett,"Philosopher, cognitive scientist",TED2006,"cognitive science, evolution, philosophy, religion, brain, atheism, consciousness",4203112,https://www.ted.com/talks/dan_dennett_let_s_teach_religion_all_religion_in_schools,2006-07-18,2006-02-02,"Greek, English, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Norwegian Bokmal, Turkish, Chinese, Simplified, Lithuanian, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Finnish, Japanese, Hebrew, Georgian, Serbian, Albanian, Korean, Vietnamese, Ukrainian",126000
93,The paradox of choice,19.383333333333333,Barry Schwartz,Psychology professor,TEDGlobal 2005,"culture, business, economics, psychology, happiness, personal growth, potential, decision-making",17020709,https://www.ted.com/talks/barry_schwartz_the_paradox_of_choice,2006-09-26,2005-07-15,"Greek, Vietnamese, Catalan, Italian, Arabic, Portuguese, Brazilian, Czech, Estonian, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Latvian, Croatian, Lithuanian, English, Thai, Romanian, Polish, French, Bulgarian, Ukrainian, Slovenian, French (Canada), German, Danish, Persian, Finnish, Hungarian, Japanese, Hebrew, Georgian, Serbian, Albanian, Korean, Swedish, Macedonian, Slovak, Serbo-Croatian, Northern Kurdish (Kurmanji), Marathi",510000
49,Behind the design of Seattle's library,19.733333333333334,Joshua Prince-Ramus,Architect,TED2006,"culture, design, architecture, collaboration, library",1259211,https://www.ted.com/talks/joshua_prince_ramus_behind_the_design_of_seattle_s_library,2006-07-10,2006-02-23,"English, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Hebrew, Korean, Ukrainian, Japanese",37000
45,An 11-year-old's magical violin,24.45,Sirena Huang,Violinist,TED2006,"entertainment, music, performance, youth",3375245,https://www.ted.com/talks/sirena_huang_an_11_year_old_s_magical_violin,2006-08-08,2006-02-23,"Greek, English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, Polish, French, Bulgarian, Croatian, German, Hungarian, Persian, Hindi, Finnish, Japanese, Hebrew, Serbian, Korean, Latvian, Northern Kurdish (Kurmanji), Burmese, Kurdish (Central)",101000
65,The radical promise of the multi-touch interface,8.566666666666666,Jeff Han,Human-computer interface designer,TED2006,"technology, design, demo, UX design",4846002,https://www.ted.com/talks/jeff_han_the_radical_promise_of_the_multi_touch_interface,2006-08-01,2006-02-06,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Ukrainian, Croatian, German, Hungarian, Persian, Japanese, Hebrew, Albanian, Korean",145000
91,Invest in Africa's own solutions,12.633333333333333,Jacqueline Novogratz,Founder and CEO of Acumen,TEDGlobal 2005,"culture, business, entrepreneur, philanthropy, poverty, finance, international development, investing",1131962,https://www.ted.com/talks/jacqueline_novogratz_invest_in_africa_s_own_solutions,2006-10-10,2005-07-01,"Greek, English, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Chinese, Traditional, Turkish, Chinese, Simplified, Romanian, Polish, French, Bulgarian, Croatian, German, Danish, Persian, Hindi, Japanese, Hebrew, Serbian, Albanian, Korean, Slovak, Vietnamese",33000
